Afghan_hound,dog,n02088094,111111101110010011110,4
African_grey,cat,n01817953,110111011110101100001,1
African_hunting_dog,dog,n02116738,1000000100110010000010,1
Airedale,dog,n02096051,111111111101110110011,23
American_Staffordshire_terrier,cat,n02093428,111111111000101110100,1
American_Staffordshire_terrier,dog,n02093428,111111111000101110100,625
American_black_bear,cat,n02133161,1000001000110010101001,1
American_black_bear,dog,n02133161,1000001000110010101001,6
Angora,cat,n02328150,1000111000011001010110,113
Angora,dog,n02328150,1000111000011001010110,1
Appenzeller,cat,n02107908,1000000010101000000100,1
Appenzeller,dog,n02107908,1000000010101000000100,75
Arctic_fox,cat,n02120079,1000000101100110001111,10
Australian_terrier,cat,n02096294,111111111110010100110,1
Australian_terrier,dog,n02096294,111111111110010100110,37
Bedlington_terrier,cat,n02093647,111111111001001001111,1
Bedlington_terrier,dog,n02093647,111111111001001001111,13
Bernese_mountain_dog,cat,n02107683,1000000010100100100011,4
Bernese_mountain_dog,dog,n02107683,1000000010100100100011,13
Blenheim_spaniel,cat,n02086646,111111101011011110110,3
Blenheim_spaniel,dog,n02086646,111111101011011110110,9
Border_collie,cat,n02106166,1000000010001100110110,20
Border_collie,dog,n02106166,1000000010001100110110,245
Border_terrier,dog,n02093754,111111111001010111010,58
Boston_bull,cat,n02096585,111111111110111001001,3
Boston_bull,dog,n02096585,111111111110111001001,78
Bouvier_des_Flandres,cat,n02106382,1000000010010000001110,15
Bouvier_des_Flandres,dog,n02106382,1000000010010000001110,36
Brabancon_griffon,dog,n02112706,1000000011110011000010,17
Brittany_spaniel,cat,n02101388,1000000001000010001100,1
Brittany_spaniel,dog,n02101388,1000000001000010001100,94
Cardigan,cat,n02113186,1000000011111010100010,39
Cardigan,dog,n02113186,1000000011111010100010,91
Chesapeake_Bay_retriever,cat,n02099849,1000000000101010001001,2
Chesapeake_Bay_retriever,dog,n02099849,1000000000101010001001,129
Chihuahua,cat,n02085620,111111101001011110100,11
Chihuahua,dog,n02085620,111111101001011110100,326
Christmas_stocking,cat,n03026506,1011100010111001001010,1
Crock_Pot,cat,n03133878,1011111101000110110110,2
Dandie_Dinmont,cat,n02096437,111111111110100110101,1
Dandie_Dinmont,dog,n02096437,111111111110100110101,49
Doberman,cat,n02107142,1000000010011100000110,1
Doberman,dog,n02107142,1000000010011100000110,112
Dutch_oven,dog,n03259280,1100011011101110010000,1
Egyptian_cat,cat,n02124075,1000000110100100101011,3411
Egyptian_cat,dog,n02124075,1000000110100100101011,2
English_foxhound,dog,n02089973,111111110001111110101,85
English_setter,dog,n02100735,1000000000110111111111,89
English_springer,cat,n02102040,1000000001001100011000,1
English_springer,dog,n02102040,1000000001001100011000,53
EntleBucher,cat,n02108000,1000000010101001100000,1
EntleBucher,dog,n02108000,1000000010101001100000,24
Eskimo_dog,cat,n02109961,1000000011001000001001,1
Eskimo_dog,dog,n02109961,1000000011001000001001,109
French_bulldog,cat,n02108915,1000000010110111110011,3
French_bulldog,dog,n02108915,1000000010110111110011,32
German_shepherd,cat,n02106662,1000000010010100100110,1
German_shepherd,dog,n02106662,1000000010010100100110,438
German_short-haired_pointer,dog,n02100236,1000000000110000001100,175
Gordon_setter,cat,n02101006,1000000000111100001110,1
Gordon_setter,dog,n02101006,1000000000111100001110,31
Great_Dane,cat,n02109047,1000000010111001110111,1
Great_Dane,dog,n02109047,1000000010111001110111,202
Great_Pyrenees,cat,n02111500,1000000011100000001100,8
Great_Pyrenees,dog,n02111500,1000000011100000001100,118
Greater_Swiss_Mountain_dog,cat,n02107574,1000000010100010110110,1
Greater_Swiss_Mountain_dog,dog,n02107574,1000000010100010110110,19
Ibizan_hound,cat,n02091244,111111110100011101100,2
Ibizan_hound,dog,n02091244,111111110100011101100,63
Irish_setter,dog,n02100877,1000000000111010001101,29
Irish_terrier,cat,n02093991,111111111001110100111,1
Irish_terrier,dog,n02093991,111111111001110100111,40
Irish_water_spaniel,dog,n02102973,1000000001011010111101,4
Irish_wolfhound,cat,n02090721,111111110011011100001,5
Irish_wolfhound,dog,n02090721,111111110011011100001,69
Italian_greyhound,dog,n02091032,111111110100000011000,78
Japanese_spaniel,cat,n02085782,111111101001110010110,5
Japanese_spaniel,dog,n02085782,111111101001110010110,14
Kerry_blue_terrier,dog,n02093859,111111111001100100011,5
Labrador_retriever,cat,n02099712,1000000000101000000000,3
Labrador_retriever,dog,n02099712,1000000000101000000000,1072
Lakeland_terrier,cat,n02095570,111111111100111010010,1
Lakeland_terrier,dog,n02095570,111111111100111010010,19
Leonberg,cat,n02111129,1000000011011010011001,1
Leonberg,dog,n02111129,1000000011011010011001,68
Lhasa,cat,n02098413,1000000000010011101101,1
Lhasa,dog,n02098413,1000000000010011101101,75
Madagascar_cat,cat,n02497673,1001100001110010001001,2
Maltese_dog,cat,n02085936,111111101010000110000,1
Maltese_dog,dog,n02085936,111111101010000110000,71
Mexican_hairless,cat,n02113978,1000000100000110111010,1
